codigo;descricao
H00;Hordéolo e calázio
H01;Outras inflamações da pálpebra
H02;Outros transtornos da pálpebra
H03;Transtornos da pálpebra em doenças classificadas em outras partes
H04;Transtornos do aparelho lacrimal
H05;Transtornos da órbita
H06;Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte
H10;Conjuntivite
H11;Outros transtornos da conjuntiva
H13;Transtornos da conjuntiva em doenças classificadas em outra parte
H15;Transtornos da esclerótica
H16;Ceratite
H17;Cicatrizes e opacidades da córnea
H18;Outros transtornos da córnea
H19;Transtorno da esclerótica e da córnea em doenças classificadas em outra parte
H20;Iridociclite
H21;Outros transtornos da íris e do corpo ciliar
H22;Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
H26;Outras cataratas
H27;Outros transtornos do cristalino
H28;Catarata e outros transtornos do cristalino em doenças classificadas em outra parte
H30;Inflamação coriorretiniana
H31;Outros transtornos da coróide
H32;Transtornos coriorretinianos em doenças classificadas em outra parte
H33;Descolamentos e defeitos da retina
H34;Oclusões vasculares da retina
H35;Outros transtornos da retina
H36;Transtornos da retina em doenças classificadas em outras partes
H40;Glaucoma
H42;Glaucoma em doenças classificadas em outra parte
H43;Transtornos do humor vítreo
H44;Transtornos do globo ocular
H45;Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte
H46;Neurite óptica
H47;Outros transtornos do nervo óptico e das vias ópticas
H48;Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
H49;Estrabismo paralítico
H50;Outros estrabismos
H51;Outros transtornos do movimento binocular
H52;Transtornos da refração e da acomodação
H53;Distúrbios visuais
H54;Cegueira e visão subnormal
H55;Nistagmo e outros movimentos irregulares do olho
H57;Outros transtornos do olho e anexos
H58;Outros transtornos do olho e anexos em doenças classificadas em outra parte
H59;Transtornos do olho e anexos pós-procedimento não classificados em outra parte
Z136;Exame especial de rastreamento de doenças cardiovasculares
