codigo;descricao
0905010035;OCI AVALIACAO INICIAL EM OFTALMOLOGIA - A PARTIR DE 9 ANOS
0905010019;OCI AVALIACAO INICIAL EM OFTALMOLOGIA - 0 A 8 ANOS
0211060020;BIOMICROSCOPIA DE FUNDO DE OLHO
0211060127;MAPEAMENTO DE RETINA
0211060232;TESTE ORTOPTICO
0211060259;TONOMETRIA
0301010072;CONSULTA MEDICA EM ATENCAO ESPECIALIZADA
0301010102;CONSULTA PARA DIAGNOSTICO/REAVALIACAO DE GLAUCOMA
0902010018;OCI AVALIACAO DE RISCO CIRURGICO
0211020036;ELETROCARDIOGRAMA
0214020010;ELETROCARDIOGRAMA
0201010010;EXAME ESPECIAL DE RASTREAMENTO DE DOENCAS CARDIOVASCULARES
